2026/06/04 13:46:31 Listening on :8080
gc 34 @4.824s 0%: 1.1+1.0+0.028 ms clock, 27+2.9/4.2/0+0.67 ms cpu, 11->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 35 @4.833s 0%: 0.46+0.51+0.006 ms clock, 11+0.83/3.3/0+0.16 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 36 @4.842s 0%: 0.49+2.1+0.032 ms clock, 11+2.2/7.9/0+0.78 ms cpu, 10->10->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 37 @4.852s 0%: 0.26+0.62+0.007 ms clock, 6.2+1.7/2.7/0.016+0.17 ms cpu, 11->11->4 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 38 @4.861s 0%: 0.24+1.2+0.039 ms clock, 5.8+1.6/2.8/0+0.95 ms cpu, 9->10->4 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 39 @4.869s 0%: 1.6+0.54+0.029 ms clock, 39+0.34/3.0/0+0.71 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 40 @4.878s 0%: 0.37+1.3+0.016 ms clock, 8.8+1.2/3.7/0.042+0.40 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 41 @4.887s 0%: 2.0+0.74+0.018 ms clock, 50+1.1/4.0/0+0.45 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 42 @4.899s 0%: 0.36+1.5+0.028 ms clock, 8.8+2.7/2.6/0+0.68 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 43 @4.908s 0%: 0.098+0.55+0.003 ms clock, 2.3+2.0/2.5/0.68+0.088 ms cpu, 10->11->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 44 @4.917s 0%: 0.11+1.1+0.017 ms clock, 2.7+2.9/4.1/0+0.43 ms cpu, 10->10->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 45 @4.926s 0%: 0.29+1.4+0.077 ms clock, 7.1+3.9/2.8/0+1.8 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 46 @4.935s 0%: 0.84+1.0+0.054 ms clock, 20+1.3/5.0/0.001+1.3 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 47 @4.945s 0%: 0.16+0.81+0.004 ms clock, 3.9+2.2/3.5/0.062+0.10 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 48 @4.955s 0%: 1.0+1.6+0.033 ms clock, 24+2.4/3.9/0+0.79 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 49 @4.967s 0%: 2.2+1.1+0.082 ms clock, 53+4.8/3.2/0+1.9 ms cpu, 10->12->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 50 @4.979s 0%: 0.12+1.3+0.10 ms clock, 2.9+0.49/3.0/0+2.5 ms cpu, 11->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 51 @4.989s 0%: 0.17+1.5+0.021 ms clock, 4.2+3.9/4.7/0.013+0.50 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 52 @4.998s 0%: 0.38+2.2+0.028 ms clock, 9.2+4.4/5.8/0+0.67 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 53 @5.009s 0%: 1.0+1.2+0.088 ms clock, 24+2.5/3.2/0+2.1 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 54 @5.019s 0%: 0.24+1.3+0.095 ms clock, 5.8+3.7/4.9/0+2.2 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 55 @5.028s 0%: 1.2+1.3+0.078 ms clock, 30+1.4/4.0/0+1.8 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 56 @5.039s 0%: 1.3+1.3+0.014 ms clock, 33+1.8/7.0/0+0.35 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 57 @5.051s 0%: 0.53+0.97+0.012 ms clock, 12+1.7/4.1/0+0.30 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 58 @5.061s 1%: 0.64+0.71+0.024 ms clock, 15+1.8/3.0/0+0.59 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 59 @5.070s 1%: 0.91+0.81+0.029 ms clock, 21+2.7/2.6/0.004+0.69 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 60 @5.079s 1%: 0.46+1.0+0.027 ms clock, 11+0.34/2.3/0+0.66 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 61 @5.088s 1%: 1.3+0.52+0.037 ms clock, 33+2.6/3.3/0+0.90 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 62 @5.098s 1%: 0.097+0.45+0.003 ms clock, 2.3+0.41/2.5/0.78+0.084 ms cpu, 11->11->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 63 @5.105s 1%: 0.37+1.5+0.027 ms clock, 9.1+0.32/3.1/0+0.65 ms cpu, 10->10->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 64 @5.115s 1%: 0.39+1.2+0.037 ms clock, 9.4+0.26/4.0/0+0.89 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 65 @5.126s 1%: 0.51+1.9+0.016 ms clock, 12+2.9/5.9/0.20+0.38 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 66 @5.137s 1%: 0.66+1.8+0.036 ms clock, 15+3.1/4.2/0.039+0.88 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 67 @5.147s 1%: 0.15+0.94+0.004 ms clock, 3.8+1.5/3.3/0.024+0.10 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 68 @5.157s 1%: 0.51+1.0+0.098 ms clock, 12+0.34/3.0/0.91+2.3 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 69 @5.165s 1%: 0.40+0.80+0.010 ms clock, 9.6+2.2/2.9/0+0.24 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 70 @5.173s 1%: 0.82+1.6+0.044 ms clock, 19+2.3/5.6/0.001+1.0 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 71 @5.184s 1%: 0.27+1.5+0.092 ms clock, 6.6+4.2/4.4/0+2.2 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 72 @5.195s 1%: 0.50+1.8+0.031 ms clock, 12+4.6/4.4/0+0.75 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 73 @5.205s 1%: 0.12+0.98+0.003 ms clock, 2.9+1.1/2.9/0.080+0.092 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 74 @5.212s 1%: 0.32+2.0+0.025 ms clock, 7.8+4.1/3.4/0+0.60 ms cpu, 9->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 75 @5.222s 1%: 0.14+2.5+0.024 ms clock, 3.5+4.8/5.5/0.019+0.58 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 76 @5.234s 1%: 1.8+0.99+0.14 ms clock, 45+0.81/3.4/0+3.3 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 77 @5.245s 1%: 0.56+2.0+0.047 ms clock, 13+0.28/4.0/0+1.1 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 78 @5.257s 1%: 1.4+1.2+0.020 ms clock, 34+0.73/4.5/0+0.49 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 79 @5.268s 1%: 0.26+0.81+0.012 ms clock, 6.3+0.11/2.4/0+0.30 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 80 @5.276s 1%: 0.96+0.46+0.049 ms clock, 23+0.53/3.0/0.022+1.1 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 81 @5.286s 1%: 0.20+1.8+0.010 ms clock, 5.0+1.7/6.0/0+0.24 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 82 @5.297s 1%: 0.12+1.4+0.018 ms clock, 3.0+4.2/3.9/0+0.43 ms cpu, 11->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
