2026/06/04 13:38:03 Listening on :8080
gc 33 @8.777s 0%: 0.095+0.79+0.005 ms clock, 0.38+1.2/0.71/0+0.021 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 34 @8.791s 0%: 0.068+0.86+0.017 ms clock, 0.27+0.72/0.81/0+0.071 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 35 @8.805s 0%: 0.056+0.88+0.010 ms clock, 0.22+1.4/0.79/0+0.040 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 36 @8.819s 0%: 0.062+0.77+0.012 ms clock, 0.24+1.1/0.73/0+0.050 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 37 @8.834s 0%: 0.072+0.74+0.012 ms clock, 0.29+1.0/0.70/0+0.049 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 38 @8.848s 0%: 0.049+0.65+0.010 ms clock, 0.19+0.92/0.60/0+0.041 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 39 @8.862s 0%: 0.025+0.65+0.034 ms clock, 0.10+1.0/0.61/0+0.13 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 40 @8.875s 0%: 0.024+0.66+0.020 ms clock, 0.098+1.0/0.62/0+0.083 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 41 @8.892s 0%: 0.060+0.74+0.012 ms clock, 0.24+1.1/0.70/0+0.050 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 42 @8.906s 0%: 0.042+0.64+0.003 ms clock, 0.16+0.94/0.60/0+0.012 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 43 @8.919s 0%: 0.059+0.80+0.014 ms clock, 0.23+1.0/0.62/0+0.059 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 44 @8.932s 0%: 0.040+0.69+0.018 ms clock, 0.16+1.1/0.64/0+0.074 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 45 @8.945s 0%: 0.047+0.66+0.021 ms clock, 0.18+0.83/0.51/0+0.086 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 46 @8.960s 0%: 0.070+0.81+0.015 ms clock, 0.28+1.2/0.77/0+0.063 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 47 @8.975s 0%: 0.067+0.93+0.019 ms clock, 0.27+1.4/0.76/0+0.076 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 48 @8.989s 0%: 0.044+0.64+0.028 ms clock, 0.17+1.1/0.60/0+0.11 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 49 @9.005s 0%: 0.073+0.76+0.016 ms clock, 0.29+1.3/0.72/0+0.064 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 50 @9.020s 0%: 0.076+0.83+0.014 ms clock, 0.30+1.1/0.80/0+0.058 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 51 @9.036s 0%: 0.067+0.70+0.014 ms clock, 0.26+0.99/0.66/0+0.059 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 52 @9.051s 0%: 0.071+0.73+0.018 ms clock, 0.28+1.1/0.70/0+0.074 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 53 @9.066s 0%: 0.063+0.67+0.015 ms clock, 0.25+1.1/0.62/0+0.061 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 54 @9.080s 0%: 0.047+0.58+0.011 ms clock, 0.19+0.81/0.56/0+0.045 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 55 @9.094s 0%: 0.026+0.98+0.013 ms clock, 0.10+1.4/0.83/0+0.055 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 56 @9.109s 0%: 0.028+0.70+0.010 ms clock, 0.11+1.0/0.65/0+0.041 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 57 @9.123s 0%: 0.067+0.63+0.014 ms clock, 0.27+0.84/0.58/0+0.058 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 58 @9.136s 0%: 0.17+0.80+0.012 ms clock, 0.71+1.2/0.76/0+0.049 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 59 @9.152s 0%: 0.10+0.84+0.016 ms clock, 0.43+1.1/0.78/0+0.066 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 60 @9.167s 0%: 0.035+0.91+0.008 ms clock, 0.14+1.4/0.85/0+0.035 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 61 @9.182s 0%: 0.045+0.85+0.004 ms clock, 0.18+1.2/0.79/0+0.017 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 62 @9.196s 0%: 0.090+0.68+0.017 ms clock, 0.36+1.1/0.64/0+0.071 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 63 @9.211s 0%: 0.086+0.81+0.015 ms clock, 0.34+1.3/0.76/0+0.063 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 64 @9.226s 0%: 0.074+0.84+0.014 ms clock, 0.29+1.1/0.78/0+0.057 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 65 @9.240s 0%: 0.10+0.88+0.027 ms clock, 0.42+1.3/0.78/0+0.11 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 66 @9.255s 0%: 0.022+0.84+0.004 ms clock, 0.089+1.2/0.79/0+0.016 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 67 @9.270s 0%: 0.33+0.90+0.026 ms clock, 1.3+1.4/0.81/0+0.10 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 68 @9.286s 0%: 0.030+0.84+0.035 ms clock, 0.12+1.3/0.79/0+0.14 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 69 @9.300s 0%: 0.094+0.83+0.013 ms clock, 0.37+1.2/0.78/0+0.053 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 70 @9.315s 0%: 0.075+0.81+0.024 ms clock, 0.30+1.3/0.76/0+0.096 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 71 @9.331s 0%: 0.096+0.77+0.018 ms clock, 0.38+1.2/0.73/0+0.072 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
